state_region,constituency,voters_elig,votes_cast,votes_adv,votes_total,votes_invalid,votes_lost,invalid_total,valid_total,turnout,party,party_votes,party_percent
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,United Democratic Party (UDP),306,0.77%
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,Shan Nationalities Democratic Party (SNDP),811,2.05%
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,National League for Democracy (NLD),22054,55.82%
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,Kachin State Democracy Party,1812,4.59%
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,Union Solidarity and Development Party (USDP),11238,28.44%
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,National Democratic Force (NDF),736,1.86%
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,Individual,911,2.31%
Kachin State,Shwegu,54065,38799,3520,42319,2704,106,2810,39509,78.27%,National Unity Party (NUP),1641,4.15%
Kachin State,Puta-O,39936,24649,4350,28999,3708,355,4063,24936,72.61%,National Unity Party (NUP),1328,5.33%
Kachin State,Puta-O,39936,24649,4350,28999,3708,355,4063,24936,72.61%,Lisu National Development Party (L.N.D.P),3125,12.53%
Kachin State,Puta-O,39936,24649,4350,28999,3708,355,4063,24936,72.61%,National Democratic Force (NDF),421,1.69%
Kachin State,Puta-O,39936,24649,4350,28999,3708,355,4063,24936,72.61%,Kachin Democratic Party,4468,17.92%
Kachin State,Puta-O,39936,24649,4350,28999,3708,355,4063,24936,72.61%,National League for Democracy (NLD),11529,46.23%
Kachin State,Puta-O,39936,24649,4350,28999,3708,355,4063,24936,72.61%,Union Solidarity and Development Party (USDP),4065,16.30%
Kachin State,Machanbaw,5568,4047,760,4807,699,0,699,4108,86.33%,Kachin Democratic Party,388,9.44%
Kachin State,Machanbaw,5568,4047,760,4807,699,0,699,4108,86.33%,Kachin State Democracy Party,469,11.42%
Kachin State,Machanbaw,5568,4047,760,4807,699,0,699,4108,86.33%,Union Solidarity and Development Party (USDP),1435,34.93%
Kachin State,Machanbaw,5568,4047,760,4807,699,0,699,4108,86.33%,National League for Democracy (NLD),1262,30.72%
Kachin State,Machanbaw,5568,4047,760,4807,699,0,699,4108,86.33%,National Democratic Force (NDF),44,1.07%
Kachin State,Machanbaw,5568,4047,760,4807,699,0,699,4108,86.33%,National Unity Party (NUP),510,12.41%
Kachin State,Nawngmun,4090,3150,346,3496,160,0,160,3336,85.48%,National Democratic Force (NDF),113,3.39%
Kachin State,Nawngmun,4090,3150,346,3496,160,0,160,3336,85.48%,Union Solidarity and Development Party (USDP),1865,55.91%
Kachin State,Nawngmun,4090,3150,346,3496,160,0,160,3336,85.48%,National League for Democracy (NLD),1358,40.71%
Kachin State,Sumprabum,1934,1168,173,1341,72,0,72,1269,69.34%,Kachin Democratic Party,134,10.56%
Kachin State,Sumprabum,1934,1168,173,1341,72,0,72,1269,69.34%,Union Solidarity and Development Party (USDP),349,27.50%
Kachin State,Sumprabum,1934,1168,173,1341,72,0,72,1269,69.34%,The Kachin National Congress for Democracy,31,2.44%
Kachin State,Sumprabum,1934,1168,173,1341,72,0,72,1269,69.34%,Kachin State Democracy Party,320,25.22%
Kachin State,Sumprabum,1934,1168,173,1341,72,0,72,1269,69.34%,National League for Democracy (NLD),435,34.28%
Kachin State,Khaunglanhpu,7574,5305,727,6032,342,18,360,5672,79.64%,National League for Democracy (NLD),1339,23.61%
Kachin State,Khaunglanhpu,7574,5305,727,6032,342,18,360,5672,79.64%,National Unity Party (NUP),266,4.69%
Kachin State,Khaunglanhpu,7574,5305,727,6032,342,18,360,5672,79.64%,Union Solidarity and Development Party (USDP),1899,33.48%
Kachin State,Khaunglanhpu,7574,5305,727,6032,342,18,360,5672,79.64%,The Kachin National Congress for Democracy,195,3.44%
Kachin State,Khaunglanhpu,7574,5305,727,6032,342,18,360,5672,79.64%,Lisu National Development Party (L.N.D.P),1973,34.78%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,National League for Democracy (NLD),33344,57.38%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,Union Solidarity and Development Party (USDP),15743,27.09%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,Kayah Unity Democracy Party (K.U.D.P),1840,3.17%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,All Nationals' Democracy (A.N.D) Party Kayah State,1196,2.06%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,National Development Party,1154,1.99%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,Individual,495,0.85%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,Kayan National Party,1346,2.32%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,Shan Nationalities League for Democracy (SNLD),745,1.28%
Kayah State,Loikaw,84172,58085,4473,62558,4358,90,4448,58110,74.32%,National Unity Party (NUP),2247,3.87%
Kayah State,Demoso,49247,36141,1668,37809,3415,81,3496,34313,76.77%,Shan Nationalities League for Democracy (SNLD),465,1.36%
Kayah State,Demoso,49247,36141,1668,37809,3415,81,3496,34313,76.77%,National Development Party,1454,4.24%
Kayah State,Demoso,49247,36141,1668,37809,3415,81,3496,34313,76.77%,All Nationals' Democracy (A.N.D) Party Kayah State,1857,5.41%
Kayah State,Demoso,49247,36141,1668,37809,3415,81,3496,34313,76.77%,National League for Democracy (NLD),19631,57.21%
Kayah State,Demoso,49247,36141,1668,37809,3415,81,3496,34313,76.77%,Kayah Unity Democracy Party (K.U.D.P),1068,3.11%
Kayah State,Demoso,49247,36141,1668,37809,3415,81,3496,34313,76.77%,Union Solidarity and Development Party (USDP),6523,19.01%
Kayah State,Demoso,49247,36141,1668,37809,3415,81,3496,34313,76.77%,Kayan National Party,3315,9.66%
Kayah State,Hpruso,17386,11836,1251,13087,1726,27,1753,11334,75.27%,National Development Party,436,3.85%
Kayah State,Hpruso,17386,11836,1251,13087,1726,27,1753,11334,75.27%,National Unity Party (NUP),398,3.51%
Kayah State,Hpruso,17386,11836,1251,13087,1726,27,1753,11334,75.27%,National League for Democracy (NLD),6363,56.14%
Kayah State,Hpruso,17386,11836,1251,13087,1726,27,1753,11334,75.27%,All Nationals' Democracy (A.N.D) Party Kayah State,1776,15.67%
Kayah State,Hpruso,17386,11836,1251,13087,1726,27,1753,11334,75.27%,Union Solidarity and Development Party (USDP),2361,20.83%
Kayah State,Shadaw,4256,2943,267,3210,414,5,419,2791,75.42%,Kayah Unity Democracy Party (K.U.D.P),191,6.84%
Kayah State,Shadaw,4256,2943,267,3210,414,5,419,2791,75.42%,Shan Nationalities Democratic Party (SNDP),71,2.54%
Kayah State,Shadaw,4256,2943,267,3210,414,5,419,2791,75.42%,Union Solidarity and Development Party (USDP),754,27.02%
Kayah State,Shadaw,4256,2943,267,3210,414,5,419,2791,75.42%,All Nationals' Democracy (A.N.D) Party Kayah State,158,5.66%
Kayah State,Shadaw,4256,2943,267,3210,414,5,419,2791,75.42%,National League for Democracy (NLD),1575,56.43%
Kayah State,Shadaw,4256,2943,267,3210,414,5,419,2791,75.42%,National Development Party,42,1.50%
Kayah State,Bawlake,6802,4633,1327,5960,378,0,378,5582,87.62%,Shan Nationalities League for Democracy (SNLD),114,2.04%
Kayah State,Bawlake,6802,4633,1327,5960,378,0,378,5582,87.62%,Shan Nationalities Democratic Party (SNDP),133,2.38%
Kayah State,Bawlake,6802,4633,1327,5960,378,0,378,5582,87.62%,National League for Democracy (NLD),1404,25.15%
Kayah State,Bawlake,6802,4633,1327,5960,378,0,378,5582,87.62%,Kayah Unity Democracy Party (K.U.D.P),402,7.20%
Kayah State,Bawlake,6802,4633,1327,5960,378,0,378,5582,87.62%,Union Solidarity and Development Party (USDP),2743,49.14%
Kayah State,Bawlake,6802,4633,1327,5960,378,0,378,5582,87.62%,National Unity Party (NUP),786,14.08%
Kayah State,Hpasawng,12469,5531,735,6266,628,0,628,5638,50.25%,National Unity Party (NUP),352,6.24%
Kayah State,Hpasawng,12469,5531,735,6266,628,0,628,5638,50.25%,Shan Nationalities Democratic Party (SNDP),165,2.93%
Kayah State,Hpasawng,12469,5531,735,6266,628,0,628,5638,50.25%,All Nationals' Democracy (A.N.D) Party Kayah State,436,7.73%
Kayah State,Hpasawng,12469,5531,735,6266,628,0,628,5638,50.25%,National League for Democracy (NLD),2471,43.83%
Kayah State,Hpasawng,12469,5531,735,6266,628,0,628,5638,50.25%,National Development Party,169,3.00%
Kayah State,Hpasawng,12469,5531,735,6266,628,0,628,5638,50.25%,Union Solidarity and Development Party (USDP),2045,36.27%
Kayah State,Mese,3984,2724,467,3191,389,0,389,2802,80.10%,All Nationals' Democracy (A.N.D) Party Kayah State,203,7.24%
Kayah State,Mese,3984,2724,467,3191,389,0,389,2802,80.10%,Union Solidarity and Development Party (USDP),810,28.91%
Kayah State,Mese,3984,2724,467,3191,389,0,389,2802,80.10%,Shan Nationalities Democratic Party (SNDP),59,2.11%
Kayah State,Mese,3984,2724,467,3191,389,0,389,2802,80.10%,Shan Nationalities League for Democracy (SNLD),22,0.79%
Kayah State,Mese,3984,2724,467,3191,389,0,389,2802,80.10%,National Development Party,92,3.28%
Kayah State,Mese,3984,2724,467,3191,389,0,389,2802,80.10%,National League for Democracy (NLD),1616,57.67%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,Democratic Party for A New Society,1125,0.77%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,Phlone-Sqaw Democratic Party,13928,9.57%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,National Unity Party (NUP),3366,2.31%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,Kayin Democratic Party,6352,4.36%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,National League for Democracy (NLD),71281,48.98%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,National Democratic Force (NDF),2038,1.40%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,Union Solidarity and Development Party (USDP),34992,24.05%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,Mon National Party,8257,5.67%
Kayin State,Hpa-An,327791,137871,18275,156146,10623,0,10623,145523,47.64%,National Development Party,4184,2.88%
Kayin State,Hlaingbwe,186079,64182,11815,75997,7215,0,7215,68782,40.84%,National Unity Party (NUP),2060,2.99%
Kayin State,Hlaingbwe,186079,64182,11815,75997,7215,0,7215,68782,40.84%,National League for Democracy (NLD),31290,45.49%
Kayin State,Hlaingbwe,186079,64182,11815,75997,7215,0,7215,68782,40.84%,Kayin Democratic Party,5597,8.14%
Kayin State,Hlaingbwe,186079,64182,11815,75997,7215,0,7215,68782,40.84%,Union Solidarity and Development Party (USDP),17122,24.89%
Kayin State,Hlaingbwe,186079,64182,11815,75997,7215,0,7215,68782,40.84%,National Development Party,5149,7.49%
Kayin State,Hlaingbwe,186079,64182,11815,75997,7215,0,7215,68782,40.84%,Phlone-Sqaw Democratic Party,6736,9.79%
Kayin State,Hlaingbwe,186079,64182,11815,75997,7215,0,7215,68782,40.84%,National Democratic Force (NDF),828,1.20%
Kayin State,Hpapun,17998,9486,1847,11333,774,8,782,10551,62.97%,Phlone-Sqaw Democratic Party,274,2.60%
Kayin State,Hpapun,17998,9486,1847,11333,774,8,782,10551,62.97%,National League for Democracy (NLD),3988,37.80%
Kayin State,Hpapun,17998,9486,1847,11333,774,8,782,10551,62.97%,Kayin People Party,130,1.23%
Kayin State,Hpapun,17998,9486,1847,11333,774,8,782,10551,62.97%,Union Solidarity and Development Party (USDP),5231,49.58%
Kayin State,Hpapun,17998,9486,1847,11333,774,8,782,10551,62.97%,National Development Party,928,8.80%
Kayin State,Thandaunggyi,53649,34546,3515,38061,3848,334,4182,33879,70.94%,Kayin People Party,11004,32.48%
Kayin State,Thandaunggyi,53649,34546,3515,38061,3848,334,4182,33879,70.94%,National League for Democracy (NLD),13247,39.10%
Kayin State,Thandaunggyi,53649,34546,3515,38061,3848,334,4182,33879,70.94%,Karen National Party,2982,8.80%
Kayin State,Thandaunggyi,53649,34546,3515,38061,3848,334,4182,33879,70.94%,Union Solidarity and Development Party (USDP),6646,19.62%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,Phlone-Sqaw Democratic Party,1471,3.70%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,Union Solidarity and Development Party (USDP),10670,26.86%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,National Development Party,1222,3.08%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,The Union of Myanmar Federation of National Politic,435,1.10%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,National League for Democracy (NLD),21738,54.72%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,Kayin People Party,1820,4.58%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,Mon National Party,1170,2.95%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,Kayin Democratic Party,423,1.06%
Kayin State,Myawaddy,89101,39252,5349,44601,2213,2665,4878,39723,50.06%,National Democratic Force (NDF),774,1.95%
Kayin State,Kawkareik,163757,61216,6727,67943,6741,0,6741,61202,41.49%,National Development Party,3700,6.05%
Kayin State,Kawkareik,163757,61216,6727,67943,6741,0,6741,61202,41.49%,Phlone-Sqaw Democratic Party,7727,12.63%
Kayin State,Kawkareik,163757,61216,6727,67943,6741,0,6741,61202,41.49%,National League for Democracy (NLD),21728,35.50%
Kayin State,Kawkareik,163757,61216,6727,67943,6741,0,6741,61202,41.49%,National Democratic Force (NDF),1153,1.88%
Kayin State,Kawkareik,163757,61216,6727,67943,6741,0,6741,61202,41.49%,All Mon Regions Democracy Party,3496,5.71%
Kayin State,Kawkareik,163757,61216,6727,67943,6741,0,6741,61202,41.49%,Mon National Party,6070,9.92%
Kayin State,Kawkareik,163757,61216,6727,67943,6741,0,6741,61202,41.49%,Union Solidarity and Development Party (USDP),17328,28.31%
Kayin State,Kyainseikgyi,66598,26032,2805,28837,2272,0,2272,26565,43.30%,National Democratic Force (NDF),624,2.35%
Kayin State,Kyainseikgyi,66598,26032,2805,28837,2272,0,2272,26565,43.30%,Phlone-Sqaw Democratic Party,2107,7.93%
Kayin State,Kyainseikgyi,66598,26032,2805,28837,2272,0,2272,26565,43.30%,National League for Democracy (NLD),11551,43.48%
Kayin State,Kyainseikgyi,66598,26032,2805,28837,2272,0,2272,26565,43.30%,Union Solidarity and Development Party (USDP),8903,33.51%
Kayin State,Kyainseikgyi,66598,26032,2805,28837,2272,0,2272,26565,43.30%,Mon National Party,2895,10.90%
Kayin State,Kyainseikgyi,66598,26032,2805,28837,2272,0,2272,26565,43.30%,National Development Party,485,1.83%
Chin State,Falam,31027,21591,1419,23010,765,64,829,22181,74.16%,National League for Democracy (NLD),13487,60.80%
Chin State,Falam,31027,21591,1419,23010,765,64,829,22181,74.16%,Individual,578,2.61%
Chin State,Falam,31027,21591,1419,23010,765,64,829,22181,74.16%,Chin Progressive Party,2119,9.55%
Chin State,Falam,31027,21591,1419,23010,765,64,829,22181,74.16%,Union Solidarity and Development Party (USDP),4709,21.23%
Chin State,Falam,31027,21591,1419,23010,765,64,829,22181,74.16%,Chin National Democratic Party,1288,5.81%
Chin State,Hakha,29211,19944,1196,21140,806,65,871,20269,72.37%,Chin National Democratic Party,5160,25.46%
Chin State,Hakha,29211,19944,1196,21140,806,65,871,20269,72.37%,Union Solidarity and Development Party (USDP),3153,15.56%
